text,category,category_weight,urgency_score,priority_score,label
I have been feeling hopeless and I do not want to continue anymore.,Mental Health,10,0.95,9.9,critical
I feel like ending my life because everything is too much.,Mental Health,10,0.99,9.98,critical
I keep thinking about hurting myself and I cannot stop these thoughts.,Mental Health,9,0.96,9.92,critical
I have written a goodbye note and I am serious about ending things.,Mental Health,10,0.99,9.98,critical
I cannot see a reason to stay alive anymore.,Mental Health,10,0.98,9.96,critical
I took some pills last night hoping I would not wake up.,Mental Health,10,0.99,9.98,critical
Every day I wake up wishing I had not.,Mental Health,10,0.98,9.96,critical
Someone has been touching me inappropriately.,Abuse,9,0.97,9.88,critical
I am scared my partner will hurt me again.,Abuse,9,0.94,9.82,critical
My lecturer made sexual advances toward me and I am terrified.,Abuse,10,0.96,9.92,critical
I was assaulted by an older student last weekend and told no one.,Abuse,9,0.95,9.88,critical
My uncle comes into my room at night and I am afraid to speak up.,Abuse,9,0.97,9.94,critical
I am in a relationship where I get hit regularly but I have nowhere to go.,Abuse,9,0.93,9.78,critical
My roommates threaten me at night.,Housing Issues,8,0.91,9.62,critical
I was locked out of my room in the cold and my landlord is ignoring me.,Housing Issues,7,0.88,9.46,critical
There was a physical fight in my house and I fear for my safety tonight.,Housing Issues,8,0.9,9.6,critical
I overdosed on alcohol last night and my friends just laughed.,Substance Abuse,9,0.93,9.78,critical
I mixed alcohol and sleeping pills last week and I am scared to tell anyone.,Substance Abuse,9,0.95,9.9,critical
I am addicted to hard drugs and I feel completely out of control.,Substance Abuse,9,0.92,9.76,critical
I have not eaten in three days because I cannot stop crying.,Mental Health,9,0.89,9.58,critical
I had a panic attack so severe I thought I was dying and no one helped.,Mental Health,8,0.87,9.44,critical
I self-harmed again last night and the cut is deep.,Mental Health,9,0.93,9.76,critical
I am being stalked by someone on campus and I am terrified.,Safety,8,0.88,9.44,critical
My ex-partner is threatening to share private photos of me.,Safety,8,0.9,9.6,critical
A group of students physically blocked me from leaving a room.,Safety,8,0.87,9.42,critical
I have been experiencing blackouts and I do not know what is happening.,Mental Health,9,0.91,9.62,critical
I cannot breathe properly from anxiety and I need help right now.,Mental Health,9,0.9,9.6,critical
I am shaking and crying and I do not know who to call.,Mental Health,9,0.92,9.64,critical
I confided in a friend and now the whole campus knows my trauma.,Mental Health,9,0.89,9.58,critical
Students keep insulting me in class every day.,Mental Health,9,0.91,9.62,critical
I am constantly being bullied online by classmates.,Bullying,7,0.72,7.12,high
My classmates mock my accent and laugh every time I speak.,Bullying,7,0.74,7.16,high
Someone created a fake social-media account using my name and photos.,Bullying,7,0.76,7.2,high
I receive threatening anonymous messages almost every night.,Bullying,7,0.75,7.18,high
A group chat was made to specifically humiliate me.,Bullying,7,0.78,7.24,high
I was publicly shamed by a lecturer in front of the whole class.,Bullying,7,0.73,7.14,high
I feel unsafe where I stay and I am scared.,Bullying,8,0.8,7.4,high
My accommodation has no running water and the management ignores me.,Housing Issues,6,0.83,7.38,high
There are rats in my room and my landlord refuses to act.,Housing Issues,6,0.8,7.32,high
I share a room with a stranger who is verbally abusive to me.,Housing Issues,6,0.77,7.26,high
I started using drugs because I cannot handle pressure anymore.,Housing Issues,6,0.79,7.3,high
I drink alcohol every night just to fall asleep.,Substance Abuse,8,0.89,8.54,high
I have been smoking excessively since exams started and feel dependent.,Substance Abuse,7,0.82,8.12,high
I started using prescription medication that is not mine to cope.,Substance Abuse,7,0.81,8.08,high
I cry every night because of pressure at school.,Substance Abuse,7,0.83,8.14,high
I have not left my room in two weeks because of anxiety.,Mental Health,8,0.78,7.88,high
I feel completely numb and detached from everything around me.,Mental Health,8,0.84,8.24,high
My appetite and sleep are completely gone because of stress.,Mental Health,8,0.82,8.12,high
I experienced a traumatic event before university and it is catching up with me.,Mental Health,8,0.8,8.0,high
I had to choose between eating and buying study materials today.,Mental Health,8,0.81,8.04,high
I lost my bursary and I do not know how I will survive the semester.,Financial Problems,8,0.85,8.4,high
I am about to be evicted because I cannot pay rent.,Financial Problems,8,0.87,8.54,high
I have missed so many classes that I might fail the whole year.,Financial Problems,8,0.86,8.48,high
I have not submitted assignments in a month and I am afraid to reach out.,Academic Stress,7,0.76,7.18,high
I am considering dropping out because I cannot keep up anymore.,Academic Stress,7,0.78,7.24,high
I failed my supplementary exams and I feel there is no way forward.,Academic Stress,7,0.8,7.3,high
I have plagiarized out of desperation and I am terrified of being caught.,Academic Stress,7,0.77,7.22,high
I am about to be excluded for poor academic performance.,Academic Stress,7,0.79,7.26,high
My supervisor is threatening to remove me from the research program.,Academic Stress,7,0.75,7.18,high
I cannot afford food or transport this semester.,Academic Stress,7,0.77,7.22,high
I am struggling to pay rent this month.,Financial Problems,5,0.65,5.9,medium
My NSFAS allowance has not arrived and I have no backup.,Financial Problems,5,0.62,5.74,medium
I sold some of my books to cover transport costs.,Financial Problems,5,0.6,5.7,medium
I cannot afford data and it is affecting my online studies.,Financial Problems,5,0.58,5.66,medium
I have been borrowing money from friends and it is creating tension.,Financial Problems,5,0.61,5.72,medium
My family stopped sending money and I do not know how to manage.,Financial Problems,5,0.59,5.68,medium
I need to apply for an emergency bursary but I do not know how.,Financial Problems,5,0.63,5.76,medium
I failed my tests and I feel useless.,Financial Problems,5,0.6,5.7,medium
I have too many assignments and I cannot rest.,Academic Stress,4,0.58,4.58,medium
I am struggling to understand the course material and feel behind.,Academic Stress,4,0.55,4.6,medium
I do not know how to write a proper research proposal.,Academic Stress,4,0.57,4.64,medium
Group project members are not cooperating and I am doing everything alone.,Academic Stress,4,0.54,4.58,medium
I missed a key deadline and I am afraid to tell my lecturer.,Academic Stress,4,0.56,4.62,medium
I have been procrastinating because of anxiety and now I am overwhelmed.,Academic Stress,4,0.53,4.56,medium
I need help with time management because I am falling behind.,Academic Stress,4,0.55,4.6,medium
I feel lonely but I am trying to cope.,Academic Stress,4,0.52,4.54,medium
I often feel like I do not belong at this university.,Mental Health,5,0.45,5.4,medium
Imposter syndrome is making it hard for me to participate in class.,Mental Health,5,0.47,5.44,medium
