text,category,category_weight,urgency_score,priority_score,label
I feel like ending my life because everything is too much.,Mental Health,10,0.99,9.98,critical
I have written a goodbye note and I am serious about ending things.,Mental Health,10,0.99,9.98,critical
I took some pills last night hoping I would not wake up.,Mental Health,10,0.99,9.98,critical
I have been planning how to end my life and I have a method in mind.,Mental Health,10,0.99,9.98,critical
I sent a farewell message to my family last night.,Mental Health,10,0.99,9.98,critical
I am being trafficked and I need urgent help to get out.,Safety,10,0.99,9.98,critical
I attempted to harm myself this morning and I am still alone.,Mental Health,10,0.99,9.98,critical
I am hiding in a bathroom because my partner is outside threatening me.,Abuse,10,0.99,9.98,critical
I want to kill myself.,Mental Health,10,0.99,9.98,critical
I want to kill myself I cannot take this anymore.,Mental Health,10,0.99,9.98,critical
I just want to kill myself and end everything.,Mental Health,10,0.99,9.98,critical
I want to kill myself because nobody cares about me.,Mental Health,10,0.99,9.98,critical
I want to kill myself I am so tired of being alive.,Mental Health,10,0.99,9.98,critical
I want to kill myself and I have been thinking about it all week.,Mental Health,10,0.99,9.98,critical
I want to kill myself I do not see the point of continuing.,Mental Health,10,0.99,9.98,critical
I want to kill myself tonight.,Mental Health,10,0.99,9.98,critical
I want to kill myself I have already said goodbye to my family.,Mental Health,10,0.99,9.98,critical
I want to kill myself and I have a plan ready.,Mental Health,10,0.99,9.98,critical
I want to kill myself I feel completely worthless.,Mental Health,10,0.99,9.98,critical
Please help me I want to kill myself.,Mental Health,10,0.99,9.98,critical
I do not want to live anymore.,Mental Health,10,0.99,9.98,critical
I have been thinking about suicide every night this week.,Mental Health,10,0.99,9.98,critical
I am thinking about ending it all.,Mental Health,10,0.99,9.98,critical
I have a plan to end my life and I am ready to carry it out.,Mental Health,10,0.99,9.98,critical
I am going to end my life this weekend.,Mental Health,10,0.99,9.98,critical
I have been researching ways to end my life.,Mental Health,10,0.99,9.98,critical
I tried to kill myself last night and I survived.,Mental Health,10,0.99,9.98,critical
I want to die and I mean it this time.,Mental Health,10,0.99,9.98,critical
I cannot stop thinking about killing myself.,Mental Health,10,0.99,9.98,critical
The only way out I can see is death.,Mental Health,10,0.99,9.98,critical
i dont no how much longer i can do this i wnat to kill myself everytime i sit down to study becaus nothing makes sence anymore and i feel so far behind everyone else,Mental Health,10,0.99,9.98,critical
I haev been thinkng about kiling myself for the past two weeks and i havent told anyone becaues i dont want to be a burden to my family or frends,Mental Health,10,0.99,9.98,critical
honestly i want to kill myslef i have failled every single test this semster and my parrents spent everything they had to send me here and i cant face them,Mental Health,10,0.99,9.98,critical
i want to kill myself i have been holding a bottle of pills in my hand for the last hour and i dont know what is stopping me from taking them all at once,Mental Health,10,0.99,9.98,critical
i relly dont want to be alive anymore i have tried so hard to keep up with everything but i am exahusted and empty and i just dont see a reson to contineu,Mental Health,10,0.99,9.98,critical
I want to kill myself. I've been saying it as a joke for months but it doesn't feel like a joke anymore. I sat in the shower for two hours last night just crying and staring at the wall.,Mental Health,10,0.99,9.98,critical
pleese help me i want to kill myslef i have been seating in my room for three days and i havent eaten or slept properly and my roomate doesnt even notise,Mental Health,10,0.99,9.98,critical
i no i keep saying i want to kill myself but this time i meen it i have been writing notes to my family and i feel weirdly calm about it which scares me,Mental Health,10,0.99,9.98,critical
I want to kil myself I lost my bursary this semester and without it I cant pay res or buy food and I have no one to call and I genuinely do not know what to do next,Mental Health,10,0.99,9.98,critical
suicidal thoughts have been consuming me latley i think about it when im walking to campus when im in lectures when im trying to sleep it never goes away anymore,Mental Health,10,0.99,9.98,critical
I dont want to wake up tomorrow. Every day feels like a punishment and I am so tired of pretending to be okay infront of everyone at university when inside I am completely falling apart.,Mental Health,10,0.99,9.98,critical
i keep imagining myself not being here anymore and instead of feeling scared it actually feels like relif which i know is a bad sign but i cant stop thinking about it,Mental Health,10,0.99,9.98,critical
I want to kill myself because nobody at this university cares whether I live or die. I have emailed three departments for help and got no response and I am at my absolute limit.,Mental Health,10,0.99,9.98,critical
i wnt to die i wnt to die i wnt to die i dont know how else to say it i just need somone to hear me,Mental Health,10,0.99,9.98,critical
I want to kill myself. I know that sounds dramatic but I mean it. I have failed two modules I cannot pay my rent and my family does not know and I have been lying to them every week.,Mental Health,10,0.99,9.98,critical
i just want to kill myself nobody understands what its like to be me every single day is a sturggle and i am so tired of fighting for a life that doesnt feel worth living,Mental Health,10,0.99,9.98,critical
I want to kill myself tonight. I have texted my friend goodbye already. I just wanted to tell someone official before I do anything.,Mental Health,10,0.99,9.98,critical
i want to kill mysefl every time i open my laptop and see the pile of work i havent done i feel like such a failure and i dont see how i will ever catch up or feel normal again,Mental Health,10,0.99,9.98,critical
I've been googling methods and I know that's a bad sign but I can't stop. I want to kill myself and I don't know who to trust with this information because last time I told someone they told my parents and made everything worse.,Mental Health,10,0.99,9.98,critical
i keep writting and deleting this mesage because i dont want to sound dramatic but i genuinly want to kill myself and have wanted to for a long time now and im scared,Mental Health,10,0.99,9.98,critical
I want to kill myself. I moved to this city alone and I have made zero friends and I am failing my degree and I call my mom every Sunday and pretend everything is fine.,Mental Health,10,0.99,9.98,critical
i took some of my roomates medication last night to see what would hapn and i woke up feeling sick and i think i need help but i am ashamed to ask for it,Mental Health,10,0.99,9.98,critical
I have been planning to end my life after my final exams because I do not want my parents to lose the money they spent on my fees before I go.,Mental Health,10,0.99,9.98,critical
i feel like my mind is broken i cant study i cant sleep i cant eat and every day i think about killing myself more seriously than the day before and i dont know how to stop it,Mental Health,10,0.99,9.98,critical
I want to kill myself but I keep delaying it because I have a cat and nobody else will feed her. That is the only reason I am still here.,Mental Health,10,0.99,9.98,critical
my partner locks me in the flat when he goes out and takes my phone so i cant call anyone i am typing this from a library computer and i am scared he will find out i left,Abuse,10,0.99,9.98,critical
I was raped two weeks ago and I have not told anyone. I have been going to class and pretending to be normal but inside I am completely destroyed and I do not know where to go for help.,Abuse,10,0.99,9.98,critical
i want to kill myself i have been sitting on the edge of my bed for the past hour just staring at the wall and i dont know what is keeping me here,Mental Health,10,0.99,9.98,critical
i wanna kill myself evry time i open my phone and see how far behind i am in evry subject i cant do this anymore i genuinely cannot,Mental Health,10,0.99,9.98,critical
I want to kill myself. I know people say that casually but I am not saying it casually. I have thought about it every day for the last three weeks.,Mental Health,10,0.99,9.98,critical
i want to kil myself because i feel like a burden to everyone around me my family spent so much on my educaton and i am wasting it and i hate myself for it,Mental Health,10,0.99,9.98,critical
want to kill myself rn cant explain it just do,Mental Health,10,0.99,9.98,critical
i want to kill myself and i have the means to do it and i dont know if i will be here tomorrow,Mental Health,10,0.99,9.98,critical
I want to kill myself. Not because of one thing but because of everything piling up for months and months and I have reached a point where I cannot carry it anymore.,Mental Health,10,0.99,9.98,critical
i want to kill myslef i failed again and i have no money and my frends have stopped checking on me and i feel completely and utterly alone in this city,Mental Health,10,0.99,9.98,critical
i want to kill myself i have been drafting a note for the last two days and deleting it and starting again because i dont know how to say goodbye properly,Mental Health,10,0.99,9.98,critical
i want to kill myself there i said it out loud for the first time and now i dont know what to do with that feeling,Mental Health,10,0.99,9.98,critical
i want to kill myslef im so tired of feeling like this i have been depressed for two years and nothing is getting better and i cant see a version of the future where i am okay,Mental Health,10,0.99,9.98,critical
i want to kill myself but i keep telling myself to wait one more day and i have been saying that for three weeks and i dont know how many more one more days i have left in me,Mental Health,10,0.99,9.98,critical
"I want to kill myself. My partner left me, I failed two modules, and my family found out and they are not speaking to me. Everything collapsed in the same week.",Mental Health,10,0.99,9.98,critical
i wnat to kill myself and i am scared that i will act on it because the thought is getting louder and less like a thought and more like a plan,Mental Health,10,0.99,9.98,critical
i want to kill myself i have even picked a date and i feel strangely at peace about it which i think means i need help urgently,Mental Health,10,0.99,9.98,critical
i want to kill myself and ive stopped eating and sleeping properly and i think my body is already giving up before i even do anything,Mental Health,10,0.99,9.98,critical
i keep saying i want to kill myslef as a joke to my friends but it stopped being a joke a while ago and i dont know how to tell them that,Mental Health,10,0.99,9.98,critical
i want to kill myself i am typing this in the bathroom because i dont want my roomate to see me crying i have been hiding how bad things are for months,Mental Health,10,0.99,9.98,critical
"I want to kill myself. The loans, the failing grades, the loneliness, the distance from home — it has all become too much and I am exhausted from pretending I am okay.",Mental Health,10,0.99,9.98,critical
i want to kill myself i had a plan but i deleted the note because i got scared and now i dont know if that was the right decision,Mental Health,10,0.99,9.98,critical
i want to kill myself im not looking for advice i just need someone to know that this is how i feel right now,Mental Health,10,0.99,9.98,critical
want 2 kill myself evry1 wud b better off srsly not joking this time,Mental Health,10,0.99,9.98,critical
i want to kill myself i have given away some of my things already and i told my cousin i love him out of nowhere last night and he doesnt know why,Mental Health,10,0.99,9.98,critical
i relly relly want to kill myself i dont know how many more ways i can say it i need someone to take this seriously and not just send me a pamphlet,Mental Health,10,0.99,9.98,critical
